ticker,company_name,exchange,market_cap,market_cap_category,sector,industry,sic,sic_description,cik,website,ir_url,data_quality_score,data_source,shares_outstanding,last_price,isin,cusip,country,currency
QURE,uniQure N.V.,NASDAQ,665938195.2,small,,Pharmaceutical Preparations,2834,Pharmaceutical Preparations,0001590560,,,60,sec_fallback,62529408.0,10.65,,,US,USD
ESPR,"Esperion Therapeutics, Inc.",NASDAQ,662205720.49,small,,Pharmaceutical Preparations,2834,Pharmaceutical Preparations,0001434868,,,60,sec_fallback,239063437.0,2.77,,,US,USD
TCMD,TACTILE SYSTEMS TECHNOLOGY INC,NASDAQ,659928813.66,small,,Surgical & Medical Instruments & Apparatus,3841,Surgical & Medical Instruments & Apparatus,0001027838,,,60,sec_fallback,22438926.0,29.41,,,US,USD
CMPS,COMPASS Pathways plc,NASDAQ,650515473.1,small,,Pharmaceutical Preparations,2834,Pharmaceutical Preparations,0001816590,,,60,sec_fallback,96017044.0,6.775,,,US,USD
SVA,SINOVAC BIOTECH LTD,NASDAQ,644658138.2099999,small,,Pharmaceutical Preparations,2834,Pharmaceutical Preparations,0001084201,,,60,sec_fallback,99638043.0,6.47,,,US,USD
ANRO,"Alto Neuroscience, Inc.",NYSE,639345174.3,small,,Pharmaceutical Preparations,2834,Pharmaceutical Preparations,0001999480,,,60,sec_fallback,31066335.0,20.58,,,US,USD
JBIO,"Jade Biosciences, Inc.",NASDAQ,638538365.4000001,small,,Pharmaceutical Preparations,2834,Pharmaceutical Preparations,0001798749,,,60,sec_fallback,46004205.0,13.88,,,US,USD
XTLB,XTL BIOPHARMACEUTICALS LTD,NASDAQ,626400444.5832,small,,Pharmaceutical Preparations,2834,Pharmaceutical Preparations,0001023549,,,60,sec_fallback,881385176.0,0.7107,,,US,USD
SIBN,"SI-BONE, Inc.",NASDAQ,621405588.09,small,,Surgical & Medical Instruments & Apparatus,3841,Surgical & Medical Instruments & Apparatus,0001459839,,,60,sec_fallback,44165287.0,14.07,,,US,USD
BVS,Bioventus Inc.,NASDAQ,606265942.1,small,,Surgical & Medical Instruments & Apparatus,3841,Surgical & Medical Instruments & Apparatus,0001665988,,,60,sec_fallback,66622631.0,9.1,,,US,USD
ATOS,"ATOSSA THERAPEUTICS, INC.",NASDAQ,604522264.3199999,small,,Pharmaceutical Preparations,2834,Pharmaceutical Preparations,0001488039,,,60,sec_fallback,129171424.0,4.68,,,US,USD
RXRX,"RECURSION PHARMACEUTICALS, INC.",NASDAQ,595855437.3,small,,"Biological Products, (No Diagnostic Substances)",2836,"Biological Products, (No Diagnostic Substances)",0001601830,,,60,sec_fallback,168320745.0,3.54,,,US,USD
LBRX,LB PHARMACEUTICALS INC,NASDAQ,595793852.1,small,,Pharmaceutical Preparations,2834,Pharmaceutical Preparations,0001691082,,,60,sec_fallback,25299102.0,23.55,,,US,USD
IRWD,IRONWOOD PHARMACEUTICALS INC,NASDAQ,590271103.9200001,small,,Pharmaceutical Preparations,2834,Pharmaceutical Preparations,0001446847,,,60,sec_fallback,163058316.0,3.62,,,US,USD
ENGN,enGene Holdings Inc.,NASDAQ,583478248.86,small,,"Biological Products, (No Diagnostic Substances)",2836,"Biological Products, (No Diagnostic Substances)",0001980845,,,60,sec_fallback,66989466.0,8.71,,,US,USD
REPL,"Replimune Group, Inc.",NASDAQ,581311237.76,small,,"Biological Products, (No Diagnostic Substances)",2836,"Biological Products, (No Diagnostic Substances)",0001737953,,,60,sec_fallback,82572619.0,7.04,,,US,USD
IVA,Inventiva S.A.,NASDAQ,578757465.55,small,,Pharmaceutical Preparations,2834,Pharmaceutical Preparations,0001756594,,,60,sec_fallback,95662391.0,6.05,,,US,USD
DSGN,"Design Therapeutics, Inc.",NASDAQ,574764308.13,small,,Pharmaceutical Preparations,2834,Pharmaceutical Preparations,0001807120,,,60,sec_fallback,56963757.0,10.09,,,US,USD
OCGN,"Ocugen, Inc.",NASDAQ,570541295.04,small,,"Biological Products, (No Diagnostic Substances)",2836,"Biological Products, (No Diagnostic Substances)",0001372299,,,60,sec_fallback,327897296.0,1.74,,,US,USD
CTKB,"Cytek Biosciences, Inc.",NASDAQ,563049595.68,small,,Laboratory Analytical Instruments,3826,Laboratory Analytical Instruments,0001831915,,,60,sec_fallback,128550136.0,4.38,,,US,USD
MGTX,MeiraGTx Holdings plc,NASDAQ,562631314.11,small,,"Biological Products, (No Diagnostic Substances)",2836,"Biological Products, (No Diagnostic Substances)",0001735438,,,60,sec_fallback,80490889.0,6.99,,,US,USD
EMBC,Embecta Corp.,NASDAQ,559035421.76,small,,Surgical & Medical Instruments & Apparatus,3841,Surgical & Medical Instruments & Apparatus,0001872789,,,60,sec_fallback,59219854.0,9.44,,,US,USD
EVO,Evotec SE,NASDAQ,553966782.72,small,,Pharmaceutical Preparations,2834,Pharmaceutical Preparations,0001412558,,,60,sec_fallback,177553456.0,3.12,,,US,USD
RIGL,RIGEL PHARMACEUTICALS INC,NASDAQ,545326797.6,small,,Pharmaceutical Preparations,2834,Pharmaceutical Preparations,0001034842,,,60,sec_fallback,18473130.0,29.52,,,US,USD
FULC,"Fulcrum Therapeutics, Inc.",NASDAQ,543457705.44,small,,Pharmaceutical Preparations,2834,Pharmaceutical Preparations,0001680581,,,60,sec_fallback,66600209.0,8.16,,,US,USD
VSTM,"Verastem, Inc.",NASDAQ,540185901.9,small,,Pharmaceutical Preparations,2834,Pharmaceutical Preparations,0001526119,,,60,sec_fallback,87835106.0,6.15,,,US,USD
MRVI,"MARAVAI LIFESCIENCES HOLDINGS, INC.",NASDAQ,531244800.0,small,,Pharmaceutical Preparations,2834,Pharmaceutical Preparations,0001823239,,,60,sec_fallback,144360000.0,3.68,,,US,USD
TECX,"Tectonic Therapeutic, Inc.",NASDAQ,522929034.1,small,,"Biological Products, (No Diagnostic Substances)",2836,"Biological Products, (No Diagnostic Substances)",0001681087,,,60,sec_fallback,18776626.0,27.85,,,US,USD
AQST,"Aquestive Therapeutics, Inc.",NASDAQ,519911908.73999995,small,,Pharmaceutical Preparations,2834,Pharmaceutical Preparations,0001398733,,,60,sec_fallback,122045049.0,4.26,,,US,USD
KMDA,KAMADA LTD,NASDAQ,519270429.92999995,small,,Pharmaceutical Preparations,2834,Pharmaceutical Preparations,0001567529,,,60,sec_fallback,57505031.0,9.03,,,US,USD
ALLO,"Allogene Therapeutics, Inc.",NASDAQ,519126632.64,small,,"Biological Products, (No Diagnostic Substances)",2836,"Biological Products, (No Diagnostic Substances)",0001737287,,,60,sec_fallback,224730144.0,2.31,,,US,USD
ADCT,ADC Therapeutics SA,NYSE,519045095.09000003,small,,Pharmaceutical Preparations,2834,Pharmaceutical Preparations,0001771910,,,60,sec_fallback,123877111.0,4.19,,,US,USD
PRTA,PROTHENA CORP PUBLIC LTD CO,NASDAQ,509260009.72,small,,Pharmaceutical Preparations,2834,Pharmaceutical Preparations,0001559053,,,60,sec_fallback,53832982.0,9.46,,,US,USD
OFIX,Orthofix Medical Inc.,NASDAQ,504615070.29,small,,Surgical & Medical Instruments & Apparatus,3841,Surgical & Medical Instruments & Apparatus,0000884624,,,60,sec_fallback,40144397.0,12.57,,,US,USD
RCKT,"ROCKET PHARMACEUTICALS, INC.",NASDAQ,503760823.52,small,,Pharmaceutical Preparations,2834,Pharmaceutical Preparations,0001281895,,,60,sec_fallback,108569143.0,4.64,,,US,USD
NMRA,"Neumora Therapeutics, Inc.",NASDAQ,501267342.0,small,,"Biological Products, (No Diagnostic Substances)",2836,"Biological Products, (No Diagnostic Substances)",0001885522,,,60,sec_fallback,167089114.0,3.0,,,US,USD
DRTS,Alpha Tau Medical Ltd.,NASDAQ,501109658.40000004,small,,Surgical & Medical Instruments & Apparatus,3841,Surgical & Medical Instruments & Apparatus,0001871321,,,60,sec_fallback,70380570.0,7.12,,,US,USD
CRMD,CorMedix Inc.,NASDAQ,498017488.5,small,,Pharmaceutical Preparations,2834,Pharmaceutical Preparations,0001410098,,,60,sec_fallback,79050395.0,6.3,,,US,USD
ZVRA,"ZEVRA THERAPEUTICS, INC.",NASDAQ,494855332.65,small,,Pharmaceutical Preparations,2834,Pharmaceutical Preparations,0001434647,,,60,sec_fallback,56297535.0,8.79,,,US,USD
LXEO,"Lexeo Therapeutics, Inc.",NASDAQ,493394330.52,small,,"Biological Products, (No Diagnostic Substances)",2836,"Biological Products, (No Diagnostic Substances)",0001907108,,,60,sec_fallback,72987327.0,6.76,,,US,USD
BBNX,"Beta Bionics, Inc.",NASDAQ,493085642.06,small,,Surgical & Medical Instruments & Apparatus,3841,Surgical & Medical Instruments & Apparatus,0001674632,,,60,sec_fallback,44382146.0,11.11,,,US,USD
IVVD,"Invivyd, Inc.",NASDAQ,491714828.46,small,,"Biological Products, (No Diagnostic Substances)",2836,"Biological Products, (No Diagnostic Substances)",0001832038,,,60,sec_fallback,282594729.0,1.74,,,US,USD
MYGN,MYRIAD GENETICS INC,NASDAQ,479696886.45,small,,In Vitro & In Vivo Diagnostic Substances,2835,In Vitro & In Vivo Diagnostic Substances,0000899923,,,60,sec_fallback,93508165.0,5.13,,,US,USD
BWAY,Brainsway Ltd.,NASDAQ,474845508.73999995,small,,Surgical & Medical Instruments & Apparatus,3841,Surgical & Medical Instruments & Apparatus,0001505065,,,60,sec_fallback,37626427.0,12.62,,,US,USD
LYEL,"Lyell Immunopharma, Inc.",NASDAQ,467861684.85,small,,Pharmaceutical Preparations,2834,Pharmaceutical Preparations,0001806952,,,60,sec_fallback,21218217.0,22.05,,,US,USD
VNDA,Vanda Pharmaceuticals Inc.,NASDAQ,467544517.3,small,,Pharmaceutical Preparations,2834,Pharmaceutical Preparations,0001347178,,,60,sec_fallback,59108030.0,7.91,,,US,USD
INTS,"INTENSITY THERAPEUTICS, INC.",NASDAQ,463701529.8,small,,"Biological Products, (No Diagnostic Substances)",2836,"Biological Products, (No Diagnostic Substances)",0001567264,,,60,sec_fallback,60064965.0,7.72,,,US,USD
ETON,"Eton Pharmaceuticals, Inc.",NASDAQ,462200215.72499996,small,,Pharmaceutical Preparations,2834,Pharmaceutical Preparations,0001710340,,,60,sec_fallback,26817535.0,17.235,,,US,USD
PACB,"PACIFIC BIOSCIENCES OF CALIFORNIA, INC.",NASDAQ,459037403.84000003,small,,Laboratory Analytical Instruments,3826,Laboratory Analytical Instruments,0001299130,,,60,sec_fallback,301998292.0,1.52,,,US,USD
LCTX,"Lineage Cell Therapeutics, Inc.",NYSE MKT,458321053.36,small,,"Biological Products, (No Diagnostic Substances)",2836,"Biological Products, (No Diagnostic Substances)",0000876343,,,60,sec_fallback,249087529.0,1.84,,,US,USD
NPCE,NeuroPace Inc,NASDAQ,457870492.8,small,,Surgical & Medical Instruments & Apparatus,3841,Surgical & Medical Instruments & Apparatus,0001528287,,,60,sec_fallback,33666948.0,13.6,,,US,USD
RLYB,Rallybio Corp,NASDAQ,456232759.20000005,small,,Pharmaceutical Preparations,2834,Pharmaceutical Preparations,0001739410,,,60,sec_fallback,42243774.0,10.8,,,US,USD
NATR,NATURES SUNSHINE PRODUCTS INC,NASDAQ,452085347.92,small,,Pharmaceutical Preparations,2834,Pharmaceutical Preparations,0000275053,,,60,sec_fallback,17495563.0,25.84,,,US,USD
GNFTY,Genfit S.A.,NASDAQ,450965588.7,small,,"Biological Products, (No Diagnostic Substances)",2836,"Biological Products, (No Diagnostic Substances)",0001757064,,,60,sec_fallback,49996185.0,9.02,,,US,USD
KIDS,ORTHOPEDIATRICS CORP,NASDAQ,450467984.34000003,small,,Surgical & Medical Instruments & Apparatus,3841,Surgical & Medical Instruments & Apparatus,0001425450,,,60,sec_fallback,25278787.0,17.82,,,US,USD
RGNX,REGENXBIO Inc.,NASDAQ,450065220.48,small,,"Biological Products, (No Diagnostic Substances)",2836,"Biological Products, (No Diagnostic Substances)",0001590877,,,60,sec_fallback,51612984.0,8.72,,,US,USD
ANGO,ANGIODYNAMICS INC,NASDAQ,448032985.82,small,,Surgical & Medical Instruments & Apparatus,3841,Surgical & Medical Instruments & Apparatus,0001275187,,,60,sec_fallback,41217386.0,10.87,,,US,USD
SIGA,SIGA TECHNOLOGIES INC,NASDAQ,446854524.48,small,,Pharmaceutical Preparations,2834,Pharmaceutical Preparations,0001010086,,,60,sec_fallback,71611302.0,6.24,,,US,USD
LRMR,"Larimar Therapeutics, Inc.",NASDAQ,446781846.23999995,small,,Pharmaceutical Preparations,2834,Pharmaceutical Preparations,0001374690,,,60,sec_fallback,85590392.0,5.22,,,US,USD
TRDA,"Entrada Therapeutics, Inc.",NASDAQ,444863717.05999994,small,,Pharmaceutical Preparations,2834,Pharmaceutical Preparations,0001689375,,,60,sec_fallback,38284313.0,11.62,,,US,USD
AVXL,ANAVEX LIFE SCIENCES CORP.,NASDAQ,441117568.08,small,,"Biological Products, (No Diagnostic Substances)",2836,"Biological Products, (No Diagnostic Substances)",0001314052,,,60,sec_fallback,92671758.0,4.76,,,US,USD
ZURA,Zura Bio Ltd,NASDAQ,439557562.08,small,,"Biological Products, (No Diagnostic Substances)",2836,"Biological Products, (No Diagnostic Substances)",0001855644,,,60,sec_fallback,65023308.0,6.76,,,US,USD
ASMB,"ASSEMBLY BIOSCIENCES, INC.",NASDAQ,437502092.4,small,,Pharmaceutical Preparations,2834,Pharmaceutical Preparations,0001426800,,,60,sec_fallback,15817140.0,27.66,,,US,USD
SLDB,Solid Biosciences Inc.,NASDAQ,437076440.79,small,,"Biological Products, (No Diagnostic Substances)",2836,"Biological Products, (No Diagnostic Substances)",0001707502,,,60,sec_fallback,77910239.0,5.61,,,US,USD
EBS,Emergent BioSolutions Inc.,NYSE,436946033.08,small,,Pharmaceutical Preparations,2834,Pharmaceutical Preparations,0001367644,,,60,sec_fallback,51770857.0,8.44,,,US,USD
FDMT,"4D Molecular Therapeutics, Inc.",NASDAQ,430083017.28000003,small,,"Biological Products, (No Diagnostic Substances)",2836,"Biological Products, (No Diagnostic Substances)",0001650648,,,60,sec_fallback,49778127.0,8.64,,,US,USD
CYRX,"Cryoport, Inc.",NASDAQ,418576037.44,small,,Pharmaceutical Preparations,2834,Pharmaceutical Preparations,0001124524,,,60,sec_fallback,50068904.0,8.36,,,US,USD
UPB,"Upstream Bio, Inc.",NASDAQ,414475992.96999997,small,,Pharmaceutical Preparations,2834,Pharmaceutical Preparations,0002022626,,,60,sec_fallback,54038591.0,7.67,,,US,USD
AVIR,"Atea Pharmaceuticals, Inc.",NASDAQ,414072018.8,small,,Pharmaceutical Preparations,2834,Pharmaceutical Preparations,0001593899,,,60,sec_fallback,78126796.0,5.3,,,US,USD
NAGE,"Niagen Bioscience, Inc.",NASDAQ,408410488.79999995,small,,Medicinal Chemicals & Botanical Products,2833,Medicinal Chemicals & Botanical Products,0001386570,,,60,sec_fallback,80080488.0,5.1,,,US,USD
SNDL,SNDL Inc.,NASDAQ,402423425.91,small,,Medicinal Chemicals & Botanical Products,2833,Medicinal Chemicals & Botanical Products,0001766600,,,60,sec_fallback,263021847.0,1.53,,,US,USD
ENTA,ENANTA PHARMACEUTICALS INC,NASDAQ,398725786.56,small,,Pharmaceutical Preparations,2834,Pharmaceutical Preparations,0001177648,,,60,sec_fallback,29019344.0,13.74,,,US,USD
ARMP,"Armata Pharmaceuticals, Inc.",NYSE MKT,398175068.32000005,small,,"Biological Products, (No Diagnostic Substances)",2836,"Biological Products, (No Diagnostic Substances)",0000921114,,,60,sec_fallback,36329842.0,10.96,,,US,USD
DNA,"Ginkgo Bioworks Holdings, Inc.",NYSE,398137918.32,small,,"Biological Products, (No Diagnostic Substances)",2836,"Biological Products, (No Diagnostic Substances)",0001830214,,,60,sec_fallback,58207298.0,6.84,,,US,USD
DMAC,DiaMedica Therapeutics Inc.,NASDAQ,395267762.01,small,,Pharmaceutical Preparations,2834,Pharmaceutical Preparations,0001401040,,,60,sec_fallback,52077439.0,7.59,,,US,USD
AUTL,Autolus Therapeutics plc,NASDAQ,395222779.71000004,small,,"Biological Products, (No Diagnostic Substances)",2836,"Biological Products, (No Diagnostic Substances)",0001730463,,,60,sec_fallback,266143286.0,1.485,,,US,USD
CGC,Canopy Growth Corp,NASDAQ,392977139.36,small,,Medicinal Chemicals & Botanical Products,2833,Medicinal Chemicals & Botanical Products,0001737927,,,60,sec_fallback,377862634.0,1.04,,,US,USD
LAB,STANDARD BIOTOOLS INC.,NASDAQ,392256722.28000003,small,,Laboratory Analytical Instruments,3826,Laboratory Analytical Instruments,0001162194,,,60,sec_fallback,384565414.0,1.02,,,US,USD
CERS,CERUS CORP,NASDAQ,391069564.16,small,,Surgical & Medical Instruments & Apparatus,3841,Surgical & Medical Instruments & Apparatus,0001020214,,,60,sec_fallback,192171776.0,2.035,,,US,USD
ABSI,Absci Corp,NASDAQ,389462265.28999996,small,,Services-Commercial Physical & Biological Research,8731,Services-Commercial Physical & Biological Research,0001672688,,,60,sec_fallback,150371531.0,2.59,,,US,USD
PEPG,PepGen Inc.,NASDAQ,380479682.46,small,,Pharmaceutical Preparations,2834,Pharmaceutical Preparations,0001835597,,,60,sec_fallback,69115292.0,5.505,,,US,USD
FBRX,"Forte Biosciences, Inc.",NASDAQ,379315591.8,small,,Pharmaceutical Preparations,2834,Pharmaceutical Preparations,0001419041,,,60,sec_fallback,12526935.0,30.28,,,US,USD
CATX,"Perspective Therapeutics, Inc.",NYSE MKT,379123749.0,small,,Pharmaceutical Preparations,2834,Pharmaceutical Preparations,0000728387,,,60,sec_fallback,74337990.0,5.1,,,US,USD
LENZ,"LENZ Therapeutics, Inc.",NASDAQ,377357026.14000005,small,,"Biological Products, (No Diagnostic Substances)",2836,"Biological Products, (No Diagnostic Substances)",0001815776,,,60,sec_fallback,31289969.0,12.06,,,US,USD
ACRS,"Aclaris Therapeutics, Inc.",NASDAQ,376256989.68,small,,Pharmaceutical Preparations,2834,Pharmaceutical Preparations,0001557746,,,60,sec_fallback,120595189.0,3.12,,,US,USD
ORGO,Organogenesis Holdings Inc.,NASDAQ,373057945.9,small,,Pharmaceutical Preparations,2834,Pharmaceutical Preparations,0001661181,,,60,sec_fallback,128640671.0,2.9,,,US,USD
MNPR,Monopar Therapeutics,NASDAQ,372888187.2,small,,Pharmaceutical Preparations,2834,Pharmaceutical Preparations,0001645469,,,60,sec_fallback,6682584.0,55.8,,,US,USD
EOLS,"Evolus, Inc.",NASDAQ,368239543.40000004,small,,Pharmaceutical Preparations,2834,Pharmaceutical Preparations,0001570562,,,60,sec_fallback,65059990.0,5.66,,,US,USD
KYTX,"Kyverna Therapeutics, Inc.",NASDAQ,367449866.3,small,,"Biological Products, (No Diagnostic Substances)",2836,"Biological Products, (No Diagnostic Substances)",0001994702,,,60,sec_fallback,43796170.0,8.39,,,US,USD
ALT,"Altimmune, Inc.",NASDAQ,365410876.365,small,,Pharmaceutical Preparations,2834,Pharmaceutical Preparations,0001326190,,,60,sec_fallback,104254173.0,3.505,,,US,USD
STTK,"Shattuck Labs, Inc.",NASDAQ,364977506.7,small,,Pharmaceutical Preparations,2834,Pharmaceutical Preparations,0001680367,,,60,sec_fallback,71564217.0,5.1,,,US,USD
BNTC,Benitec Biopharma Inc.,NASDAQ,364155940.4,small,,Pharmaceutical Preparations,2834,Pharmaceutical Preparations,0001808898,,,60,sec_fallback,34354334.0,10.6,,,US,USD
AURA,"Aura Biosciences, Inc.",NASDAQ,361968633.3,small,,"Biological Products, (No Diagnostic Substances)",2836,"Biological Products, (No Diagnostic Substances)",0001501796,,,60,sec_fallback,63503269.0,5.7,,,US,USD
CELG-RI,BRISTOL MYERS SQUIBB CO,NYSE,358215724.7095,small,,Pharmaceutical Preparations,2834,Pharmaceutical Preparations,0000014272,,,60,sec_fallback,2036473705.0,0.1759,,,US,USD
CLYM,"Climb Bio, Inc.",NASDAQ,353005372.2,small,,Pharmaceutical Preparations,2834,Pharmaceutical Preparations,0001768446,,,60,sec_fallback,47767980.0,7.39,,,US,USD
DRUG,BRIGHT MINDS BIOSCIENCES INC.,NASDAQ,351973968.59999996,small,,Pharmaceutical Preparations,2834,Pharmaceutical Preparations,0001827401,,,60,sec_fallback,4524087.0,77.8,,,US,USD
NGNE,Neurogene Inc.,NASDAQ,342789274.0,small,,Pharmaceutical Preparations,2834,Pharmaceutical Preparations,0001404644,,,60,sec_fallback,15489800.0,22.13,,,US,USD
GLSI,"Greenwich LifeSciences, Inc.",NASDAQ,341791477.13,small,,Pharmaceutical Preparations,2834,Pharmaceutical Preparations,0001799788,,,60,sec_fallback,13854539.0,24.67,,,US,USD
USNA,USANA HEALTH SCIENCES INC,NYSE,332711597.4,small,,Medicinal Chemicals & Botanical Products,2833,Medicinal Chemicals & Botanical Products,0000896264,,,60,sec_fallback,18280857.0,18.2,,,US,USD
CARL,"CARLSMED, INC.",NASDAQ,329338141.44,small,,Surgical & Medical Instruments & Apparatus,3841,Surgical & Medical Instruments & Apparatus,0001794546,,,60,sec_fallback,26731992.0,12.32,,,US,USD
IRD,"Opus Genetics, Inc.",NASDAQ,328959272.15999997,small,,Pharmaceutical Preparations,2834,Pharmaceutical Preparations,0001228627,,,60,sec_fallback,68964208.0,4.77,,,US,USD
XOMA,XOMA Royalty Corp,NASDAQ,325799439.93,small,,Pharmaceutical Preparations,2834,Pharmaceutical Preparations,0000791908,,,60,sec_fallback,12383103.0,26.31,,,US,USD
RLMD,"RELMADA THERAPEUTICS, INC.",NASDAQ,324867945.46,small,,Pharmaceutical Preparations,2834,Pharmaceutical Preparations,0001553643,,,60,sec_fallback,73333622.0,4.43,,,US,USD
XFOR,"X4 Pharmaceuticals, Inc",NASDAQ,323515745.6,small,,"Biological Products, (No Diagnostic Substances)",2836,"Biological Products, (No Diagnostic Substances)",0001501697,,,60,sec_fallback,87436688.0,3.7,,,US,USD
NRC,NATIONAL RESEARCH CORP,NASDAQ,319359413.88,small,,Services-Commercial Physical & Biological Research,8731,Services-Commercial Physical & Biological Research,0000070487,,,60,sec_fallback,22746397.0,14.04,,,US,USD
CTNM,"Contineum Therapeutics, Inc.",NASDAQ,318999579.13,small,,Pharmaceutical Preparations,2834,Pharmaceutical Preparations,0001855175,,,60,sec_fallback,23099173.0,13.81,,,US,USD
FHTX,Foghorn Therapeutics Inc.,NASDAQ,318949269.96,small,,Pharmaceutical Preparations,2834,Pharmaceutical Preparations,0001822462,,,60,sec_fallback,56551289.0,5.64,,,US,USD
AVTX,"Avalo Therapeutics, Inc.",NASDAQ,318795157.44,small,,Pharmaceutical Preparations,2834,Pharmaceutical Preparations,0001534120,,,60,sec_fallback,18133968.0,17.58,,,US,USD
AKBA,"Akebia Therapeutics, Inc.",NASDAQ,318776294.40999997,small,,Pharmaceutical Preparations,2834,Pharmaceutical Preparations,0001517022,,,60,sec_fallback,267879239.0,1.19,,,US,USD
PBYI,"PUMA BIOTECHNOLOGY, INC.",NASDAQ,316960514.01000005,small,,Pharmaceutical Preparations,2834,Pharmaceutical Preparations,0001401667,,,60,sec_fallback,50876487.0,6.23,,,US,USD
DCTH,"DELCATH SYSTEMS, INC.",NASDAQ,315495377.96,small,,Surgical & Medical Instruments & Apparatus,3841,Surgical & Medical Instruments & Apparatus,0000872912,,,60,sec_fallback,34746187.0,9.08,,,US,USD
NUVL,"Nuvalent, Inc.",NASDAQ,313345219.91999996,small,,Pharmaceutical Preparations,2834,Pharmaceutical Preparations,0001861560,,,60,sec_fallback,3129384.0,100.13,,,US,USD
CBIO,"CRESCENT BIOPHARMA, INC.",NASDAQ,312218170.11,small,,Pharmaceutical Preparations,2834,Pharmaceutical Preparations,0001253689,,,60,sec_fallback,27556767.0,11.33,,,US,USD
MREO,Mereo BioPharma Group plc,NASDAQ,311102475.064,small,,Pharmaceutical Preparations,2834,Pharmaceutical Preparations,0001719714,,,60,sec_fallback,795658504.0,0.391,,,US,USD
NAUT,"Nautilus Biotechnology, Inc.",NASDAQ,308817314.12,small,,Laboratory Analytical Instruments,3826,Laboratory Analytical Instruments,0001808805,,,60,sec_fallback,126564473.0,2.44,,,US,USD
CABA,"Cabaletta Bio, Inc.",NASDAQ,306123348.72,small,,"Biological Products, (No Diagnostic Substances)",2836,"Biological Products, (No Diagnostic Substances)",0001759138,,,60,sec_fallback,96265204.0,3.18,,,US,USD
RZLT,"Rezolute, Inc.",NASDAQ,299533754.05,micro,,Pharmaceutical Preparations,2834,Pharmaceutical Preparations,0001509261,,,60,sec_fallback,95697685.0,3.13,,,US,USD
CCCC,"C4 Therapeutics, Inc.",NASDAQ,295661870.25,micro,,"Biological Products, (No Diagnostic Substances)",2836,"Biological Products, (No Diagnostic Substances)",0001662579,,,60,sec_fallback,97578175.0,3.03,,,US,USD
TLSI,"TriSalus Life Sciences, Inc.",NASDAQ,292431704.48999995,micro,,Surgical & Medical Instruments & Apparatus,3841,Surgical & Medical Instruments & Apparatus,0001826667,,,60,sec_fallback,61306437.0,4.77,,,US,USD
OABI,"OmniAb, Inc.",NASDAQ,289565294.0,micro,,Services-Commercial Physical & Biological Research,8731,Services-Commercial Physical & Biological Research,0001846253,,,60,sec_fallback,144782647.0,2.0,,,US,USD
IMMX,"Immix Biopharma, Inc.",NASDAQ,286755035.41999996,micro,,Pharmaceutical Preparations,2834,Pharmaceutical Preparations,0001873835,,,60,sec_fallback,33577873.0,8.54,,,US,USD
ALGS,"Aligos Therapeutics, Inc.",NASDAQ,283774554.72,micro,,"Biological Products, (No Diagnostic Substances)",2836,"Biological Products, (No Diagnostic Substances)",0001799448,,,60,sec_fallback,42608792.0,6.66,,,US,USD
ALDX,"Aldeyra Therapeutics, Inc.",NASDAQ,279849936.3,micro,,Pharmaceutical Preparations,2834,Pharmaceutical Preparations,0001341235,,,60,sec_fallback,60182782.0,4.65,,,US,USD
NCNA,NuCana plc,NASDAQ,278407113.7599,micro,,Pharmaceutical Preparations,2834,Pharmaceutical Preparations,0001709626,,,60,sec_fallback,142037199.0,1.9601,,,US,USD
ACIU,AC Immune SA,NASDAQ,274120329.21,micro,,Pharmaceutical Preparations,2834,Pharmaceutical Preparations,0001651625,,,60,sec_fallback,100410377.0,2.73,,,US,USD
VACHU,Voyager Acquisition Corp./Cayman Islands,NASDAQ,271975000.0,micro,,"Biological Products, (No Diagnostic Substances)",2836,"Biological Products, (No Diagnostic Substances)",0002006815,,,60,sec_fallback,25300000.0,10.75,,,US,USD
PROF,Profound Medical Corp.,NASDAQ,271839363.6,micro,,Surgical & Medical Instruments & Apparatus,3841,Surgical & Medical Instruments & Apparatus,0001628808,,,60,sec_fallback,36293640.0,7.49,,,US,USD
VACH,Voyager Acquisition Corp./Cayman Islands,NASDAQ,270457000.0,micro,,"Biological Products, (No Diagnostic Substances)",2836,"Biological Products, (No Diagnostic Substances)",0002006815,,,60,sec_fallback,25300000.0,10.69,,,US,USD
SI,"SHOULDER INNOVATIONS, INC.",NYSE,268439942.52,micro,,Surgical & Medical Instruments & Apparatus,3841,Surgical & Medical Instruments & Apparatus,0001699350,,,60,sec_fallback,20601684.0,13.03,,,US,USD
CADL,"Candel Therapeutics, Inc.",NASDAQ,266256769.54999998,micro,,"Biological Products, (No Diagnostic Substances)",2836,"Biological Products, (No Diagnostic Substances)",0001841387,,,60,sec_fallback,54898303.0,4.85,,,US,USD
ABEO,ABEONA THERAPEUTICS INC.,NASDAQ,263911928.07,micro,,Pharmaceutical Preparations,2834,Pharmaceutical Preparations,0000318306,,,60,sec_fallback,54191361.0,4.87,,,US,USD
LFCR,"LIFECORE BIOMEDICAL, INC. \DE\",NASDAQ,263013791.04,micro,,Pharmaceutical Preparations,2834,Pharmaceutical Preparations,0001005286,,,60,sec_fallback,37466352.0,7.02,,,US,USD
