ticker,company_name,exchange,market_cap,market_cap_category,sector,industry,sic,sic_description,cik,website,ir_url,data_quality_score,data_source,shares_outstanding,last_price,isin,cusip,country,currency
ZYME,Zymeworks Inc.,NASDAQ,1828990253.6000001,small,,Pharmaceutical Preparations,2834,Pharmaceutical Preparations,0001937653,,,60,sec_fallback,73749607.0,24.8,,,US,USD
AORT,"ARTIVION, INC.",NYSE,1812884340.42,small,,Surgical & Medical Instruments & Apparatus,3841,Surgical & Medical Instruments & Apparatus,0000784199,,,60,sec_fallback,47883897.0,37.86,,,US,USD
VALN,Valneva SE,NASDAQ,1805614131.6399999,small,,"Biological Products, (No Diagnostic Substances)",2836,"Biological Products, (No Diagnostic Substances)",0001836564,,,60,sec_fallback,162521524.0,11.11,,,US,USD
INSP,"Inspire Medical Systems, Inc.",NYSE,1785687115.8600001,small,,Surgical & Medical Instruments & Apparatus,3841,Surgical & Medical Instruments & Apparatus,0001609550,,,60,sec_fallback,28589291.0,62.46,,,US,USD
ELVN,"Enliven Therapeutics, Inc.",NASDAQ,1751553891.74,small,,Pharmaceutical Preparations,2834,Pharmaceutical Preparations,0001672619,,,60,sec_fallback,59800406.0,29.29,,,US,USD
DFTX,"Definium Therapeutics, Inc.",NASDAQ,1749702163.95,small,,Medicinal Chemicals & Botanical Products,2833,Medicinal Chemicals & Botanical Products,0001813814,,,60,sec_fallback,99698129.0,17.55,,,US,USD
OGN,Organon & Co.,NYSE,1746718011.5,small,,Pharmaceutical Preparations,2834,Pharmaceutical Preparations,0001821825,,,60,sec_fallback,260315650.0,6.71,,,US,USD
VCEL,Vericel Corp,NASDAQ,1725952846.0,small,,"Biological Products, (No Diagnostic Substances)",2836,"Biological Products, (No Diagnostic Substances)",0000887359,,,60,sec_fallback,50763319.0,34.0,,,US,USD
RLAY,"Relay Therapeutics, Inc.",NASDAQ,1722916798.76,small,,"Biological Products, (No Diagnostic Substances)",2836,"Biological Products, (No Diagnostic Substances)",0001812364,,,60,sec_fallback,178725809.0,9.64,,,US,USD
ZLAB,Zai Lab Ltd,NASDAQ,1709832219.9,small,,Pharmaceutical Preparations,2834,Pharmaceutical Preparations,0001704292,,,60,sec_fallback,88592343.0,19.3,,,US,USD
SRPT,"Sarepta Therapeutics, Inc.",NASDAQ,1703983999.56,small,,Pharmaceutical Preparations,2834,Pharmaceutical Preparations,0000873303,,,60,sec_fallback,104989772.0,16.23,,,US,USD
TRVI,"Trevi Therapeutics, Inc.",NASDAQ,1677250152.72,small,,Pharmaceutical Preparations,2834,Pharmaceutical Preparations,0001563880,,,60,sec_fallback,128230134.0,13.08,,,US,USD
HRMY,"Harmony Biosciences Holdings, Inc.",NASDAQ,1649035905.14,small,,Pharmaceutical Preparations,2834,Pharmaceutical Preparations,0001802665,,,60,sec_fallback,57840614.0,28.51,,,US,USD
